timestamp_sec,latitude_deg,longitude_deg,altitude_m,heading_deg,speed_ms,pitch_deg,roll_deg,yaw_rate_dps,mission_phase,waypoint_reached,active_failures
12,47.671,9.5139,0,90,15,0,0,0,cruise,0,
12.1,47.671,9.51392,0,90,15,0,0,0,cruise,0,
12.2,47.671,9.51394,0,90,15,0,0,0,cruise,0,
12.3,47.671,9.51396,0,90,15,0,0,0,cruise,0,
12.4,47.671,9.51398,0,90,15,0,0,0,cruise,0,
12.5,47.671,9.514,0,90,15,0,0,0,cruise,0,
12.6,47.671,9.51402,0,90,15,0,0,0,cruise,0,
12.7,47.671,9.51404,0,90,15,0,0,0,cruise,0,
12.8,47.671,9.51406,0,90,15,0,0,0,cruise,0,
12.9,47.671,9.51408,0,90,15,0,0,0,cruise,0,
13,47.671,9.5141,0,90,15,0,0,0,cruise,0,
13.1,47.671,9.51412,0,90,15,0,0,0,cruise,0,
13.2,47.671,9.51414,0,90,15,0,0,0,cruise,0,
13.3,47.671,9.51416,0,90,15,0,0,0,cruise,0,
13.4,47.671,9.51418,0,90,15,0,0,0,cruise,0,
13.5,47.671,9.5142,0,90,15,0,0,0,cruise,0,
13.6,47.671,9.51422,0,90,15,0,0,0,cruise,0,
13.7,47.671,9.51424,0,90,15,0,0,0,cruise,0,
13.8,47.671,9.51426,0,90,15,0,0,0,cruise,0,
13.9,47.671,9.51428,0,90,15,0,0,0,cruise,0,
14,47.671,9.5143,0,90,15,0,0,0,cruise,0,
14.1,47.671,9.51432,0,90,15,0,0,0,cruise,0,
14.2,47.671,9.51434,0,90,15,0,0,0,cruise,0,
14.3,47.671,9.51436,0,90,15,0,0,0,cruise,0,
14.4,47.671,9.51438,0,90,15,0,0,0,cruise,0,
14.5,47.671,9.5144,0,90,15,0,0,0,cruise,0,
14.6,47.671,9.51442,0,90,15,0,0,0,cruise,0,
14.7,47.671,9.51444,0,90,15,0,0,0,cruise,0,
14.8,47.671,9.51446,0,90,15,0,0,0,cruise,0,
14.9,47.671,9.51448,0,90,15,0,0,0,cruise,0,
15,47.671,9.5145,0,90,15,0,0,0,cruise,0,
15.1,47.671,9.51452,0,90,15,0,0,0,cruise,0,
